,id,num_pax_000_014_mins_before_sdt,num_pax_015_029_mins_before_sdt,num_pax_030_044_mins_before_sdt,num_pax_045_059_mins_before_sdt,num_pax_060_074_mins_before_sdt,num_pax_075_089_mins_before_sdt,num_pax_090_104_mins_before_sdt,num_pax_105_119_mins_before_sdt,num_pax_120_134_mins_before_sdt,num_pax_135_149_mins_before_sdt,num_pax_150_164_mins_before_sdt,num_pax_165_179_mins_before_sdt,num_pax_180_194_mins_before_sdt,num_pax_195_209_mins_before_sdt,num_pax_210_224_mins_before_sdt,num_pax_225_239_mins_before_sdt,num_pax_240plus_mins_before_sdt
0,6921,0,0,2,9,18,21,19,16,12,9,6,4,2,1,0,0,0
1,6921,0,0,3,12,21,24,21,16,11,6,4,2,1,0,0,0,0
2,6931,0,0,4,14,25,26,22,17,11,6,3,1,1,0,0,0,0
3,6932,0,0,3,10,17,20,20,18,14,10,7,5,3,1,1,0,1
4,6933,0,0,2,8,17,20,20,18,14,10,7,4,3,1,1,0,1
5,6934,0,0,1,5,12,19,23,24,20,14,9,6,3,1,0,0,0
6,6935,0,0,1,5,13,19,23,24,20,14,9,6,3,1,0,0,0
7,6936,0,0,0,0,2,3,3,3,3,2,1,1,1,0,0,0,0
8,6956,0,0,3,12,21,24,21,18,13,8,5,3,2,0,0,0,0
9,6957,0,0,3,11,21,25,25,20,14,8,4,2,1,0,0,0,0
10,6958,0,0,2,6,14,20,24,24,19,13,8,5,3,1,0,0,0
11,6959,0,0,1,6,14,20,22,21,16,11,6,4,2,1,0,0,1
12,6974,0,0,4,14,25,28,24,18,11,6,3,1,0,0,0,0,0
13,6975,0,0,1,6,15,22,27,25,20,13,8,5,3,1,0,0,0
14,6998,0,0,0,3,9,18,24,25,21,15,10,7,4,2,1,0,1
15,7048,0,0,1,6,15,22,24,21,16,10,7,5,3,2,1,0,2
16,7048,0,0,1,7,15,22,24,21,16,10,7,5,3,2,1,0,2
17,7048,0,0,1,4,9,14,17,17,14,10,7,4,3,2,1,0,2
18,7048,0,0,2,7,15,21,23,21,16,11,8,5,3,2,1,0,2
19,7048,0,0,2,7,15,22,23,21,16,11,8,5,3,2,1,0,2
20,7048,0,0,2,7,15,22,23,21,16,11,8,5,3,2,1,0,2
21,7116,1,0,1,0,0,4,7,9,8,6,4,3,2,1,0,0,1
