id,num_pax_000_014_mins_before_sdt,num_pax_015_029_mins_before_sdt,num_pax_030_044_mins_before_sdt,num_pax_045_059_mins_before_sdt,num_pax_060_074_mins_before_sdt,num_pax_075_089_mins_before_sdt,num_pax_090_104_mins_before_sdt,num_pax_105_119_mins_before_sdt,num_pax_120_134_mins_before_sdt,num_pax_135_149_mins_before_sdt,num_pax_150_164_mins_before_sdt,num_pax_165_179_mins_before_sdt,num_pax_180_194_mins_before_sdt,num_pax_195_209_mins_before_sdt,num_pax_210_224_mins_before_sdt,num_pax_225_239_mins_before_sdt,num_pax_240plus_mins_before_sdt
6921,0,0,0,2,6,6,11,12,8,5,6,0,1,1,0,0,0
6931,0,0,0,6,8,14,15,15,14,8,12,2,1,0,1,0,0
6932,0,1,2,13,11,17,17,11,14,5,5,1,2,2,1,0,1
6933,0,1,0,5,8,11,19,20,15,10,6,1,2,0,0,0,1
6934,0,0,3,2,13,26,18,14,16,6,2,1,1,0,0,0,0
6935,0,0,7,14,12,24,28,22,24,6,5,3,3,0,0,0,0
6936,0,0,0,3,9,6,2,5,2,3,1,1,1,0,0,0,1
6956,0,0,7,16,17,17,28,17,8,8,6,6,1,1,0,1,1
6957,25,8,12,7,22,22,15,11,9,6,5,1,0,0,0,0,0
6958,0,0,1,5,10,15,19,16,13,4,3,4,1,0,0,0,0
6959,0,1,2,0,8,18,20,23,21,25,16,9,2,0,0,0,0
6974,0,0,5,16,20,13,7,5,4,8,5,6,4,1,2,0,4
6975,0,0,2,2,9,19,27,20,26,30,6,4,2,2,1,0,0
6998,0,0,9,12,22,13,14,13,8,9,2,3,1,0,0,0,0
7048,0,0,1,8,24,24,33,14,10,5,3,1,0,0,0,0,0
7116,0,0,0,5,5,5,8,4,4,4,1,0,1,0,0,0,0
7209,0,1,3,13,18,32,29,15,11,5,1,2,1,0,1,0,0
7237,0,0,1,5,17,28,27,17,10,12,6,4,3,2,1,0,1
7238,0,0,0,3,12,14,17,9,7,4,4,4,2,0,0,0,0
7239,0,0,1,15,23,20,22,20,10,1,2,6,17,8,0,0,0
7253,0,0,0,4,6,9,28,32,27,20,17,9,5,0,0,0,0
7262,0,0,1,3,6,6,6,6,1,0,0,0,0,0,0,0,0
7306,0,0,1,4,13,23,20,16,10,5,3,1,0,0,0,0,1
7322,0,1,1,5,11,14,20,29,39,18,20,3,0,0,0,0,0
7337,0,0,1,7,16,20,16,17,13,9,10,6,5,1,1,0,3
7338,0,0,0,7,12,25,19,11,11,2,0,0,0,0,0,0,0
7348,0,0,3,8,12,27,48,32,9,2,1,0,0,0,0,0,0
7356,0,0,1,4,14,37,18,25,25,10,3,4,3,2,0,1,7
7360,0,0,1,3,11,23,12,9,3,4,2,0,1,0,0,0,0
7401,0,0,2,2,12,23,16,17,14,10,4,2,2,0,0,0,0
7402,0,0,0,6,14,13,21,11,5,3,1,1,1,0,0,0,0
7443,0,0,0,4,11,10,10,9,6,7,5,13,6,5,1,1,4
7444,0,0,1,7,17,20,17,19,10,7,5,3,3,2,1,0,2
7445,0,0,0,1,4,10,21,15,13,2,4,3,2,1,2,0,1
7461,0,0,3,8,8,10,6,15,9,2,1,1,1,0,0,0,0
7462,0,0,2,6,13,22,17,16,12,7,3,1,0,0,1,0,0
7463,0,0,4,11,13,12,13,13,7,8,6,2,1,2,0,0,0
7464,6,0,3,10,19,17,17,9,10,9,4,1,0,0,0,0,0
7465,0,0,1,1,12,19,9,7,9,4,1,2,1,2,0,0,0
7480,0,0,7,20,15,18,12,6,7,2,0,0,0,0,0,0,0
7512,0,0,11,12,11,20,17,14,12,6,4,2,0,0,0,0,0
7513,0,0,4,15,17,27,15,13,8,3,2,0,0,0,0,0,0
7514,0,0,4,15,17,27,15,13,8,3,2,0,0,0,0,0,0
7538,0,0,1,9,18,21,22,18,11,6,2,2,0,0,0,0,0
7579,0,0,8,11,25,33,23,18,13,6,2,1,0,0,0,0,1
7580,0,0,4,8,15,20,25,20,14,5,5,2,0,0,0,0,0
7581,0,0,0,2,7,24,17,20,9,2,0,0,0,0,0,0,0
7582,0,1,6,30,27,40,25,11,11,3,1,1,0,0,0,0,0
7591,0,0,1,5,12,19,23,20,18,6,4,2,3,2,1,0,2
7599,0,1,3,8,8,16,11,6,3,2,0,0,0,0,0,0,0
7628,1,1,3,3,7,18,28,20,8,1,0,0,0,0,0,0,0
7642,0,0,2,8,17,17,22,15,16,5,4,3,2,1,1,0,1
7723,0,0,0,1,3,10,26,31,26,26,9,3,2,5,1,0,0
7735,0,0,1,6,18,22,17,21,14,9,5,3,2,1,0,0,0
7736,0,0,3,12,18,28,30,22,16,10,4,3,0,0,0,0,0
7749,0,0,0,2,7,9,18,23,24,8,8,0,0,0,0,0,0
7820,0,0,2,9,20,32,34,24,18,7,1,0,0,0,0,0,0
7871,0,0,0,7,13,25,9,13,8,5,1,0,0,0,0,0,0
7872,0,0,2,4,5,14,13,16,13,16,10,5,1,2,0,0,0
7906,38,2,0,0,4,10,26,29,23,19,18,6,4,0,0,0,0
7907,0,0,2,7,24,28,26,23,15,12,6,2,2,0,0,0,0
7908,0,0,1,6,16,15,18,12,9,9,5,6,6,1,1,0,5
7909,0,0,1,12,18,20,26,18,16,5,5,1,2,0,0,0,2
7941,0,0,2,7,18,26,20,10,13,11,12,11,5,1,0,0,0
7971,0,0,2,6,17,28,29,26,16,12,5,3,0,0,0,0,0
7999,0,0,4,12,18,25,19,13,8,4,1,0,0,0,0,0,1
8000,0,0,3,10,26,22,21,20,11,14,5,5,1,0,0,0,0
8001,0,0,2,5,9,14,10,9,6,4,3,1,0,0,1,0,0
8002,1,0,4,3,14,30,27,28,23,20,4,4,3,2,0,0,0
8027,0,0,1,12,19,29,45,48,40,28,26,22,19,5,1,0,0
8028,0,0,2,7,19,29,27,29,16,9,10,6,2,4,2,0,1
8029,0,0,1,11,16,21,17,14,6,4,3,3,0,1,0,0,0
8030,0,0,0,3,6,7,7,5,4,4,2,3,1,1,0,0,1
8031,0,0,3,8,30,25,25,22,17,6,5,1,2,1,2,0,0
8054,0,0,1,8,15,17,30,23,16,3,3,0,1,0,1,0,1
8055,1,7,10,16,14,14,17,16,13,15,4,6,3,1,3,1,3
8056,0,0,2,11,21,25,23,18,18,6,2,1,1,0,0,0,0
8057,0,0,2,3,12,19,20,10,11,8,6,5,3,5,1,0,1
8058,5,4,3,15,18,22,28,24,22,7,6,7,3,1,0,0,0
8079,0,0,0,9,23,33,31,17,8,3,2,0,0,0,0,0,0
8080,0,0,0,1,11,7,13,9,6,4,5,2,2,1,1,0,0
8081,0,0,0,6,8,14,21,18,25,10,6,2,1,0,0,0,0
8096,0,0,0,6,19,32,14,10,11,8,3,1,1,0,0,0,0
8097,0,0,1,5,16,33,20,16,11,8,6,2,3,0,0,0,0
8116,0,0,1,5,14,12,8,5,4,1,0,0,0,0,0,0,0
8117,0,0,3,9,19,18,16,14,16,4,4,5,0,0,0,0,0
8118,0,0,0,3,14,18,19,19,25,4,3,0,0,0,0,0,0
8119,0,0,2,9,14,22,24,17,10,13,8,6,4,0,0,0,0
8120,0,0,0,12,12,14,20,13,8,7,3,1,1,0,0,0,1
8121,0,0,1,5,12,22,24,28,14,10,7,3,0,1,1,0,0
8122,0,0,1,13,15,14,26,27,16,5,7,1,2,1,0,0,0
8123,0,0,3,8,12,27,48,32,9,2,1,0,0,0,0,0,0
8124,0,0,0,3,16,24,33,27,18,12,5,4,0,0,0,0,0
8172,0,0,2,9,24,31,18,13,9,4,2,1,0,1,0,0,0
8195,0,0,1,2,5,8,21,23,22,8,7,1,0,0,0,0,0
8196,0,0,1,9,17,30,28,23,21,7,3,1,0,0,0,0,0
8197,11,4,4,1,6,10,20,26,9,6,2,3,0,0,0,0,0
